번호,운영상태,시설명,도로명전체주소,최대수용인원,위도(EPSG4326),경도(EPSG4326)
173,사용중,6호선신당역지하철승강장,"서울특별시 중구 다산로 지하 260 (흥인동, 신당역 6호선)",23290,37.56624437305515,127.01617494829004
174,사용중,6호선약수역지하철승강장,"서울특별시 중구 다산로 지하 115 (신당동, 약수역 6호선)",13072,37.55412449069521,127.01025330126228
175,사용중,청구역지하철승강장,"서울특별시 중구 청구로 지하 77 (신당동, 청구역 5,6호선)",2591,37.56022965017423,127.013759584162
176,사용중,을지로3구역지하쇼핑센터,"서울특별시 중구 을지로 지하131, 을지로3구역지하쇼핑 (을지로3가)",17490,37.56638343005883,126.99262997365034
177,사용중,1호선서울역지하철승강장,"서울특별시 중구 세종대로 지하 2 (남대문로5가, 서울역 1호선)",11263,37.55692795477346,126.97255639854666
178,사용중,한국경제신문사 지하1~5층,"서울특별시 중구 청파로 463 (중림동, 한국경제신문사빌딩)",21716,37.56070414617848,126.96762207325706
179,사용중,을지로4가역지하철승강장,"서울특별시 중구 을지로 지하 178 (을지로4가, 을지로4가역 2호선)",9280,37.56661003473568,126.99781104281791
180,사용중,2호선을지로3가역지하철승강장,"서울특별시 중구 을지로 지하 106 (을지로3가, 을지로3가역 2호선)",7459,37.56624384099566,126.99028179769635
181,사용중,4호선충무로역지하철승강장,"서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)",12970,37.56143760418142,126.99553823334142
182,사용중,묵정공원공영주차장 지하1~5층,"서울특별시 중구 퇴계로45길 32-12 (충무로5가, 묵정경노당)",5739,37.56371582523737,126.99979428615318
184,사용중,중구청 지하1~3층,"서울특별시 중구 창경궁로 17 (예관동, 중구청)",1755,37.56388110408805,126.99818030678136
185,사용중,쌍림빌딩 지하1층,"서울특별시 중구 퇴계로 286 (쌍림동, 쌍림빌딩)",1095,37.56321394243279,127.00355109577517
186,사용중,을지로4구역지하쇼핑센터,"서울특별시 중구 을지로 지하 218 (을지로5가, 을지로4구역지하쇼핑)",5575,37.56686788564932,127.0022931073546
187,사용중,동대문역사문화공원역지하철승강장,"서울특별시 중구 을지로 지하 279 (을지로7가, 동대문역사문화공원역 2호선)",17536,37.56562586618249,127.00915456268916
188,사용중,청계5가지하쇼핑센터,"서울특별시 중구 동호로 지하 384 (방산동, 청계5가지하쇼핑센터)",1071,37.568770776850464,127.00213771148414
189,사용중,중구구민회관 지하1~3층,"서울특별시 중구 을지로39길 40 (을지로6가, 구민회관)",1099,37.56840431849508,127.00546096754516
190,사용중,2호선신당역지하철승강장,서울특별시 중구 퇴계로 지하 431-1 (신당동),5055,37.565668806010684,127.0195551484464
191,사용중,중구종합복지센터 지하1~2층,"서울특별시 중구 퇴계로 460, 중구종합복지센터 (신당동)",1997,37.565141438533466,127.02279519588171
192,사용중,에이피엠 지하2~3층,"서울특별시 중구 마장로 40 (신당동, apM)",3014,37.56782066823004,127.01391276162596
193,사용중,삼성홈타운신당아파트 지하주차장 1층,"서울특별시 중구 다산로42가길 43 (신당동, 삼성홈타운신당아파트)",2316,37.562802953774,127.0168322473077
194,사용중,신당동파라다이스아파트 지하주차장 1층,"서울특별시 중구 다산로42나길 46 (신당동, 신당동 파라다이스 아파트)",2357,37.56253709304943,127.01748862125216
195,사용중,신당현대아파트 관리동 지하 2층,"서울특별시 중구 다산로36길 109 (신당동, 현대아파트)",3144,37.55976778902146,127.02010907788956
196,사용중,신당삼성아파트 지하주차장,"서울특별시 중구 청구로1길 23 (신당동, 삼성아파트)",40800,37.558404347173926,127.01670412576412
197,사용중,약수하이츠아파트 지하주차장,"서울특별시 중구 동호로10길 30 (신당동, 약수하이츠)",57047,37.5549110413082,127.0123437662424
198,사용중,경향아트힐 지하1층,서울특별시 중구 정동길 3 (정동),576,37.56807891297721,126.96963520515143
199,사용중,대한항공 지하1~4층,"서울특별시 중구 서소문로 117 (서소문동, 대한항공빌딩)",6909,37.563423371264,126.97416718348482
200,사용중,농협중앙회 지하2~3층,"서울특별시 중구 새문안로 16 (충정로1가, 농업협동조합중앙회건물)",1921,37.56684474237607,126.9680516417339
201,사용중,신당푸르지오아파트 지하주차장 1~3층,"서울특별시 중구 다산로36길 110 (신당동, 신당푸르지오)",31381,37.559368347296,127.0203027164053
202,사용중,남산타운아파트2(임대동) 지하1층,"서울특별시 중구 다산로 32 (신당동, 남산타운)",29641,37.54759663071084,127.00670911933736
203,사용중,서울역디오빌 지하1~3층,"서울특별시 중구 만리재로 193 (만리동1가, 서울역 디오빌)",5030,37.55495010313536,126.9671933821798
204,사용중,남산타운아파트1 (분양동)지하1층,"서울특별시 중구 다산로 32 (신당동, 남산타운)",86476,37.54759663071084,127.00670911933736
205,사용중,중구청소년수련관 지하,"서울특별시 중구 동호로5길 19 (신당동, 중구청소년수련관)",1464,37.55189629464631,127.01240870277115
